5kV,10kV,15kV,20kV,25kV,30kV,Contamination_Rate,,,5_s,10_s,15_s,20_s,25_s,30_s
0.022857143,0.044705882,0.124,0.184,0.233142857,0.213333333,High,,,0.000522449,0.001998616,0.015376,0.033856,0.054355592,0.045511111
0.025142857,0.044705882,0.128,0.188,0.237714286,0.218666667,High,,,0.000632163,0.001998616,0.016384,0.035344,0.056508082,0.047815111
0.027428571,0.044705882,0.132,0.192,0.237714286,0.218666667,High,,,0.000752327,0.001998616,0.017424,0.036864,0.056508082,0.047815111
0.029714286,0.044705882,0.136,0.196,0.237714286,0.224,High,,,0.000882939,0.001998616,0.018496,0.038416,0.056508082,0.050176
0.032,0.044705882,0.136,0.196,0.242285714,0.229333333,High,,,0.001024,0.001998616,0.018496,0.038416,0.058702367,0.052593778
0.034285714,0.047058824,0.14,0.2,0.246857143,0.234666667,High,,,0.00117551,0.002214533,0.0196,0.04,0.060938449,0.055068445
0.034285714,0.047058824,0.14,0.2,0.246857143,0.234666667,High,,,0.00117551,0.002214533,0.0196,0.04,0.060938449,0.055068445
0.034285714,0.047058824,0.14,0.2,0.251428571,0.24,High,,,0.00117551,0.002214533,0.0196,0.04,0.063216326,0.0576
0.034285714,0.049411765,0.14,0.2,0.251428571,0.245333333,High,,,0.00117551,0.002441523,0.0196,0.04,0.063216326,0.060188444
0.034285714,0.051764706,0.14,0.2,0.251428571,0.250666667,High,,,0.00117551,0.002679585,0.0196,0.04,0.063216326,0.062833778
0.034285714,0.054117647,0.14,0.2,0.251428571,0.261333333,High,,,0.00117551,0.00292872,0.0196,0.04,0.063216326,0.068295111
0.034285714,0.056470588,0.14,0.2,0.251428571,0.272,High,,,0.00117551,0.003188927,0.0196,0.04,0.063216326,0.073984
0.034285714,0.058823529,0.144,0.204,0.251428571,0.277333333,High,,,0.00117551,0.003460208,0.020736,0.041616,0.063216326,0.076913778
0.034285714,0.058823529,0.144,0.208,0.251428571,0.282666667,High,,,0.00117551,0.003460208,0.020736,0.043264,0.063216326,0.079900445
0.034285714,0.058823529,0.148,0.208,0.256,0.288,High,,,0.00117551,0.003460208,0.021904,0.043264,0.065536,0.082944
0.034285714,0.058823529,0.152,0.212,0.256,0.288,High,,,0.00117551,0.003460208,0.023104,0.044944,0.065536,0.082944
0.034285714,0.058823529,0.152,0.212,0.256,0.288,High,,,0.00117551,0.003460208,0.023104,0.044944,0.065536,0.082944
0.034285714,0.058823529,0.148,0.208,0.256,0.293333333,High,,,0.00117551,0.003460208,0.021904,0.043264,0.065536,0.086044444
0.034285714,0.058823529,0.152,0.208,0.260571429,0.293333333,High,,,0.00117551,0.003460208,0.023104,0.043264,0.06789747,0.086044444
0.034285714,0.058823529,0.148,0.208,0.260571429,0.293333333,High,,,0.00117551,0.003460208,0.021904,0.043264,0.06789747,0.086044444
0.034285714,0.058823529,0.148,0.208,0.265142857,0.293333333,High,,,0.00117551,0.003460208,0.021904,0.043264,0.070300735,0.086044444
0.034285714,0.058823529,0.152,0.208,0.265142857,0.293333333,High,,,0.00117551,0.003460208,0.023104,0.043264,0.070300735,0.086044444
0.036571429,0.058823529,0.156,0.212,0.269714286,0.293333333,High,,,0.001337469,0.003460208,0.024336,0.044944,0.072745796,0.086044444
0.036571429,0.058823529,0.156,0.208,0.265142857,0.293333333,High,,,0.001337469,0.003460208,0.024336,0.043264,0.070300735,0.086044444
0.036571429,0.058823529,0.16,0.212,0.260571429,0.298666667,High,,,0.001337469,0.003460208,0.0256,0.044944,0.06789747,0.089201778
0.036571429,0.058823529,0.16,0.212,0.260571429,0.304,High,,,0.001337469,0.003460208,0.0256,0.044944,0.06789747,0.092416
0.036571429,0.058823529,0.16,0.212,0.265142857,0.304,High,,,0.001337469,0.003460208,0.0256,0.044944,0.070300735,0.092416
0.034285714,0.058823529,0.16,0.208,0.265142857,0.309333333,High,,,0.00117551,0.003460208,0.0256,0.043264,0.070300735,0.095687111
0.034285714,0.058823529,0.16,0.208,0.265142857,0.314666667,High,,,0.00117551,0.003460208,0.0256,0.043264,0.070300735,0.099015111
0.034285714,0.058823529,0.16,0.208,0.269714286,0.309333333,High,,,0.00117551,0.003460208,0.0256,0.043264,0.072745796,0.095687111
0.034285714,0.058823529,0.16,0.208,0.269714286,0.309333333,High,,,0.00117551,0.003460208,0.0256,0.043264,0.072745796,0.095687111
