5kV,10kV,15kV,20kV,25kV,30kV,Contamination_Rate,,,5_s,10_s,15_s,20_s,25_s,30_s
0.054916667,0.0659,0.013316667,0.019975,0.03199,0.042761186,Very_Low,,,0.00301584,0.00434281,0.000177334,0.000399001,0.00102336,0.001828519
0.054916667,0.0659,0.015986667,0.019975,0.035995,0.048224728,Very_Low,,,0.00301584,0.00434281,0.000255574,0.000399001,0.00129564,0.002325624
0.053333333,0.064,0.018656667,0.019975,0.035995,0.049323721,Very_Low,,,0.002844444,0.004096,0.000348071,0.000399001,0.00129564,0.002432829
0.053333333,0.064,0.018656667,0.04,0.04,0.054703072,Very_Low,,,0.002844444,0.004096,0.000348071,0.0016,0.0016,0.002992426
0.054916667,0.0659,0.021326667,0.04,0.04,0.055688455,Very_Low,,,0.00301584,0.00434281,0.000454827,0.0016,0.0016,0.003101204
0.053333333,0.064,0.023996667,0.019975,0.044,0.060918973,Very_Low,,,0.002844444,0.004096,0.00057584,0.000399001,0.001936,0.003711121
0.053333333,0.064,0.023996667,0.04,0.048,0.066055509,Very_Low,,,0.002844444,0.004096,0.00057584,0.0016,0.002304,0.00436333
0.053333333,0.064,0.021326667,0.04,0.052,0.071083673,Very_Low,,,0.002844444,0.004096,0.000454827,0.0016,0.002704,0.005052889
0.051666667,0.062,0.023996667,0.04,0.056,0.075989738,Very_Low,,,0.002669444,0.003844,0.00057584,0.0016,0.003136,0.00577444
0.051666667,0.062,0.021326667,0.019975,0.06,0.080760886,Very_Low,,,0.002669444,0.003844,0.000454827,0.000399001,0.0036,0.006522321
0.05,0.06,0.021326667,0.04,0.06,0.081061134,Very_Low,,,0.0025,0.0036,0.000454827,0.0016,0.0036,0.006570907
0.05,0.06,0.018656667,0.019975,0.06,0.081204545,Very_Low,,,0.0025,0.0036,0.000348071,0.000399001,0.0036,0.006594178
0.05,0.06,0.021326667,0.04,0.06,0.081182477,Very_Low,,,0.0025,0.0036,0.000454827,0.0016,0.0036,0.006590595
0.05,0.06,0.018656667,0.019975,0.06,0.080988115,Very_Low,,,0.0025,0.0036,0.000348071,0.000399001,0.0036,0.006559075
0.05,0.06,0.021326667,0.04,0.06,0.080616652,Very_Low,,,0.0025,0.0036,0.000454827,0.0016,0.0036,0.006499045
0.05,0.06,0.021326667,0.019975,0.06,0.080065447,Very_Low,,,0.0025,0.0036,0.000454827,0.000399001,0.0036,0.006410476
0.05,0.06,0.023996667,0.04,0.06,0.079334151,Very_Low,,,0.0025,0.0036,0.00057584,0.0016,0.0036,0.006293908
0.05,0.06,0.026663333,0.04,0.06,0.078424803,Very_Low,,,0.0025,0.0036,0.000710933,0.0016,0.0036,0.00615045
0.05,0.06,0.029333333,0.04,0.06,0.077341888,Very_Low,,,0.0025,0.0036,0.000860444,0.0016,0.0036,0.005981768
0.05,0.06,0.032,0.06,0.06,0.076092361,Very_Low,,,0.0025,0.0036,0.001024,0.0036,0.0036,0.005790047
0.05,0.06,0.032,0.04,0.06,0.074685632,Very_Low,,,0.0025,0.0036,0.001024,0.0016,0.0036,0.005577944
0.05,0.06,0.032,0.06,0.06,0.073133509,Very_Low,,,0.0025,0.0036,0.001024,0.0036,0.0036,0.00534851
0.048333333,0.058,0.029333333,0.04,0.06,0.071450109,Very_Low,,,0.002336111,0.003364,0.000860444,0.0016,0.0036,0.005105118
0.048333333,0.058,0.029333333,0.04,0.06,0.069651726,Very_Low,,,0.002336111,0.003364,0.000860444,0.0016,0.0036,0.004851363
0.048333333,0.058,0.029333333,0.04,0.06,0.067756658,Very_Low,,,0.002336111,0.003364,0.000860444,0.0016,0.0036,0.004590965
0.048333333,0.058,0.032,0.04,0.06,0.065785012,Very_Low,,,0.002336111,0.003364,0.001024,0.0016,0.0036,0.004327668
0.048333333,0.058,0.032,0.06,0.064,0.068082784,Very_Low,,,0.002336111,0.003364,0.001024,0.0036,0.004096,0.004635265
0.046666667,0.056,0.032,0.06,0.064,0.066024302,Very_Low,,,0.002177778,0.003136,0.001024,0.0036,0.004096,0.004359208
0.046666667,0.056,0.032,0.04,0.064,0.063957881,Very_Low,,,0.002177778,0.003136,0.001024,0.0016,0.004096,0.004090611
0.046666667,0.056,0.029333333,0.04,0.064,0.061908209,Very_Low,,,0.002177778,0.003136,0.000860444,0.0016,0.004096,0.003832626
0.046666667,0.056,0.026666667,0.04,0.064,0.059900345,Very_Low,,,0.002177778,0.003136,0.000711111,0.0016,0.004096,0.003588051
0.046666667,0.056,0.029333333,0.04,0.06,0.05363505,Very_Low,,,0.002177778,0.003136,0.000860444,0.0016,0.0036,0.002876719
0.046666667,0.056,0.032,0.04,0.06,0.051785736,Very_Low,,,0.002177778,0.003136,0.001024,0.0016,0.0036,0.002681762
0.046666667,0.056,0.032,0.06,0.06,0.05005217,Very_Low,,,0.002177778,0.003136,0.001024,0.0036,0.0036,0.00250522
0.046666667,0.056,0.034666667,0.06,0.06,0.04845742,Very_Low,,,0.002177778,0.003136,0.001201778,0.0036,0.0036,0.002348122
0.046666667,0.056,0.037333333,0.04,0.06,0.047023194,Very_Low,,,0.002177778,0.003136,0.001393778,0.0016,0.0036,0.002211181
0.046666667,0.056,0.034666667,0.06,0.06,0.045769517,Very_Low,,,0.002177778,0.003136,0.001201778,0.0036,0.0036,0.002094849
0.045,0.054,0.034666667,0.06,0.06,0.044714422,Very_Low,,,0.002025,0.002916,0.001201778,0.0036,0.0036,0.00199938
0.045,0.054,0.037333333,0.04,0.06,0.043873672,Very_Low,,,0.002025,0.002916,0.001393778,0.0016,0.0036,0.001924899
0.043333333,0.052,0.037333333,0.06,0.06,0.043260508,Very_Low,,,0.001877778,0.002704,0.001393778,0.0036,0.0036,0.001871472
0.043333333,0.052,0.037333333,0.06,0.06,0.042885431,Very_Low,,,0.001877778,0.002704,0.001393778,0.0036,0.0036,0.00183916
0.043333333,0.052,0.04,0.06,0.06,0.042756019,Very_Low,,,0.001877778,0.002704,0.0016,0.0036,0.0036,0.001828077
0.041666667,0.05,0.04,0.06,0.06,0.042876786,Very_Low,,,0.001736111,0.0025,0.0016,0.0036,0.0036,0.001838419
0.043333333,0.052,0.04,0.06,0.06,0.043249085,Very_Low,,,0.001877778,0.002704,0.0016,0.0036,0.0036,0.001870483
0.041666667,0.05,0.04,0.06,0.064,0.048195375,Very_Low,,,0.001736111,0.0025,0.0016,0.0036,0.004096,0.002322794
0.043333333,0.052,0.04,0.06,0.068,0.053386242,Very_Low,,,0.001877778,0.002704,0.0016,0.0036,0.004624,0.002850091
